Year,Quarter,Month,Day,Sum of Open,Sum of Close,Sum of High,Sum of Low
1965,Qtr 1,January,5,-0.7102967604234561,-0.7101867067133788,-0.7110333330315843,-0.7091746383696369
1965,Qtr 1,January,6,-0.7096009759140057,-0.7094909246384237,-0.7103417815374269,-0.7084744270181903
1965,Qtr 1,January,7,-0.7084602001634562,-0.7083501528793587,-0.7092079460408384,-0.7073263932244791
1965,Qtr 1,January,8,-0.7071108002188008,-0.707000757656147,-0.7078667555784638,-0.7059684078912966
1965,Qtr 1,January,12,-0.7068766550147474,-0.7067666132713495,-0.707634034867506,-0.7057327729676413
1965,Qtr 1,January,13,-0.7076390189088603,-0.707528974498011,-0.7083917606905225,-0.7064999873067656
1965,Qtr 1,January,14,-0.7067701280658696,-0.7066600866952009,-0.7075281560075083,-0.7056255682543627
1965,Qtr 1,January,18,-0.7087476088974335,-0.7086375606077152,-0.7094936062369426,-0.7076156305606117
1965,Qtr 1,January,19,-0.7088963185698762,-0.7087862697598347,-0.7096414111891609,-0.7077652863797627
1965,Qtr 1,January,20,-0.7090583305587078,-0.7089482811817991,-0.7098024375291068,-0.7079283291496281
1965,Qtr 1,January,21,-0.7088830027151378,-0.7087729539516873,-0.709628176345448,-0.7077518858045624
1965,Qtr 1,January,22,-0.7098406750595881,-0.7097306229453179,-0.7105800224008327,-0.7087156512196336
1965,Qtr 1,January,25,-0.7111845210627146,-0.7110744642464328,-0.7119156927107593,-0.7100680472750281
1965,Qtr 1,January,26,-0.7113698324404935,-0.711259774975822,-0.7120998766907802,-0.7102545376732916
1965,Qtr 1,January,27,-0.7102423861940024,-0.7101323326741762,-0.7109792896041846,-0.7091199181909428
1965,Qtr 1,January,28,-0.7114641678834825,-0.7113541100887386,-0.7121936382155986,-0.7103494733137486
1965,Qtr 1,January,29,-0.71201124272049,-0.7119011830115745,-0.7127373847575379,-0.7109000288460442
1965,Qtr 1,February,1,-0.711949106577827,-0.7118390470863211,-0.7126756266388732,-0.710837497369938
1965,Qtr 1,February,2,-0.7124018596211653,-0.7122917985455121,-0.7131256252222741,-0.7112931309979386
1965,Qtr 1,February,3,-0.7113720540614932,-0.7112619965890484,-0.7121020847958774,-0.7102567734290773
1965,Qtr 1,February,4,-0.7098661959585653,-0.7097561437549993,-0.7106053880357098,-0.7087413344921415
1965,Qtr 1,February,5,-0.7096453666092505,-0.709535315178349,-0.7103859021684646,-0.7085191001436865
1965,Qtr 1,February,8,-0.7101624774162516,-0.71005242417602,-0.7108998669756275,-0.709039501003579
