,ARIMA_Forecast,Prophet_Forecast,LSTM_Forecast
2021-05-29,,10269.193318469359,8077386102.705002
2021-05-30,,10269.510000738976,4669714046.04435
2021-05-31,,10277.373191753475,3256629832.4918747
2021-06-01,,10278.01132481144,2127334933.1188202
2021-06-02,,10278.264257794546,1369356662.480235
2021-06-03,,10279.776200660492,827897089.317441
2021-06-04,,10277.042423419745,429172542.0704484
2021-06-05,,10270.689508149202,160217418.9054966
2021-06-06,,10270.876395937912,23154582.71473646
2021-06-07,,10278.697343575677,-31375341.14062786
2021-06-08,,10279.390604702117,5127163.867950439
2021-06-09,,10279.805001227316,2066160.0199341774
2021-06-10,,10281.592583070611,316229.14731502533
2021-06-11,,10279.255080113817,-1090010.35541296
2021-06-12,,10273.423916530977,-2109958.9562416077
2021-06-13,,10274.261044776924,-2814464.2263650894
2021-06-14,,10282.86172004455,-3253404.8411250114
2021-06-15,,10284.463035359244,-3480257.6887607574
2021-06-16,,10285.910387874777,-3562189.410030842
2021-06-17,,10288.850078337238,-3571991.438269615
2021-06-18,,10287.775750583074,-3555282.4956178665
2021-06-19,,10283.308443156702,-3558425.7620573044
2021-06-20,,10285.597511136824,-3560659.135580063
2021-06-21,,10295.723538624756,-3562396.2038755417
2021-06-22,,10298.907060529744,-3563595.608174801
2021-06-23,,10301.97526151486,-3564340.0660157204
2021-06-24,,10306.554850245748,-3564919.08878088
2021-06-25,,10307.11881092985,-3565043.1650877
2021-06-26,,10304.266798396413,-3565043.1650877
2021-06-27,,10308.126428136915,-3565043.1650877
